id,username,city,state,region,geo
2581,@badmafck,Nova Iguaçu,RJ,Região Sudeste,"-22.7561195064389,-43.460699679156285"
2582,@elleonorao,Pelotas,RS,Região Sul,"-31.765376687186,-52.3375278592511"
2583,@caligurlkp,Rio de Janeiro,RJ,Região Sudeste,"-22.9138683111265,-43.2010414947482"
2584,@euwilliamsousa,Teresina,PI,Região Nordeste,"-5.0927489262625185,-42.804049355595204"
2585,@karolav3s,Sinop,MT,Região Centro-Oeste,"-11.8608520656654,-55.5094879801898"
2586,@llysweet,Rio de Janeiro,RJ,Região Sudeste,"-22.9138683111265,-43.2010414947482"
2587,@Juli_e_Ana,Extrema,MG,Região Sudeste,"-22.854468930654203,-46.31821091246179"
2588,@suckerpapi,Barbacena,MG,Região Sudeste,"-21.2219244020677,-43.7706388588634"
2589,@titapadilha,Belém,PA,Região Norte,"-6.7434595215496,-35.5172208801456"
2590,@josephfariasjr,Belém,PA,Região Norte,"-6.7434595215496,-35.5172208801456"
2591,@olhaamilena,Florianópolis,SC,Região Sul,"-27.5954547370575,-48.5485480467415"
2592,@vtpca,Fortaleza,CE,Região Nordeste,"-9.80560422720153,-65.526657119746"
2593,@jair_jp,Santa Teresa,ES,Região Sudeste,"-19.9368190364738,-40.5982920602115"
2594,@khalessimari,Imperatriz,MA,Região Nordeste,"-5.518873155601058,-47.4780990276142"
2595,@silvania_trans,Rio de Janeiro,RJ,Região Sudeste,"-22.9138683111265,-43.2010414947482"
2596,@mrcosbrandao,São Paulo,SP,Região Sudeste,"-23.5338633880999,-46.6403182226843"
2597,@gremargus,São Paulo,SP,Região Sudeste,"-23.5338633880999,-46.6403182226843"
2598,@dhyogo,Carpina,PE,Região Nordeste,"-7.84813003433303,-35.2566124769428"
2599,@gabrieIacastroo,Goiás,GO,Região Centro-Oeste,"-15.940846541554599,-50.143351554832"
2600,@louredo6,Anápolis,GO,Região Centro-Oeste,"-16.3285446693033,-48.953354144138785"
2601,@kodadraws,Belém,PA,Região Norte,"-6.7434595215496,-35.5172208801456"
2602,@sovacodeminhoca,Florianópolis,SC,Região Sul,"-27.5954547370575,-48.5485480467415"
2603,@WalterGalvo3,Manaus,AM,Região Norte,"-3.1194301771900896,-60.0221093878098"
2604,@Rodrigues_csv,São Luís,MA,Região Nordeste,"-2.53951514746143,-44.2832158364691"
2605,@mary_moitinho,Itamaraju,BA,Região Nordeste,"-17.0382892752107,-39.5389025854617"
2606,@CardosoGeberson,Belo Horizonte,MG,Região Sudeste,"-19.9111294232859,-43.927313560653495"
2607,@MorceguinhaM,São Paulo,SP,Região Sudeste,"-23.5338633880999,-46.6403182226843"
2608,@oijuliaf,Osasco,SP,Região Sudeste,"-23.5328688019216,-46.791955142132"
2609,@charlesBereng,Bragança,PA,Região Norte,"-1.05300278039013,-46.771041054309904"
2610,@welldirectioner,São Luís,MA,Região Nordeste,"-2.53951514746143,-44.2832158364691"
2611,@larefbs,Criciúma,SC,Região Sul,"-28.6727510189599,-49.3733229307238"
2612,@mmillenab,Recife,PE,Região Nordeste,"-8.04750898689904,-34.8776414904569"
2613,@iamneguinha,Rio de Janeiro,RJ,Região Sudeste,"-22.9138683111265,-43.2010414947482"
2614,@rebellrfa,São Gonçalo,RJ,Região Sudeste,"-22.8272756800223,-43.0637230257314"
2615,@qissoguss,Cariacica,ES,Região Sudeste,"-20.2636837308909,-40.416895448199796"
2616,@dirtzainbag,Fortaleza,CE,Região Nordeste,"-9.80560422720153,-65.526657119746"
2617,@tatasoaresr,Guarapari,ES,Região Sudeste,"-20.6777312198163,-40.5096010620555"
2618,@luisnuness1,Duque de Caxias,RJ,Região Sudeste,"-22.7862859741359,-43.3052686489186"
2619,@marryjeeh,Rio de Janeiro,RJ,Região Sudeste,"-22.9138683111265,-43.2010414947482"
2620,@_janinevalente,Belém,PA,Região Norte,"-6.7434595215496,-35.5172208801456"
2621,@Princesinha0201,Vitória,ES,Região Sudeste,"-20.316436299583106,-40.313497603987706"
2622,@leticiafran7,Maricá,RJ,Região Sudeste,"-22.935920612649106,-42.8249575990061"
2623,@itsgiovanovisk,Rio de Janeiro,RJ,Região Sudeste,"-22.9138683111265,-43.2010414947482"
2624,@rodranjoss1,Rio de Janeiro,RJ,Região Sudeste,"-22.9138683111265,-43.2010414947482"
2625,@beaatriz33,Duque de Caxias,RJ,Região Sudeste,"-22.7862859741359,-43.3052686489186"
2626,@lpc1980,São Paulo,SP,Região Sudeste,"-23.5338633880999,-46.6403182226843"
2627,@ninazzepam,Vila Velha,ES,Região Sudeste,"-20.3421870888842,-40.287803385123"
2628,@itisme_lucas,São Carlos,SP,Região Sudeste,"-22.0178664622929,-47.886374031099"
2629,@LelesTati,Belo Horizonte,MG,Região Sudeste,"-19.9111294232859,-43.927313560653495"
2630,@Omalditao,São Paulo,SP,Região Sudeste,"-23.5338633880999,-46.6403182226843"
2631,@luacioly_,Recife,PE,Região Nordeste,"-8.04750898689904,-34.8776414904569"
2632,@SPNboys,Rio Branco,AC,Região Norte,"-15.2470683790461,-58.12674402235911"
2633,@Mcmuel2,Nova Iguaçu,RJ,Região Sudeste,"-22.7561195064389,-43.460699679156285"
2634,@tpbiasse,Rio de Janeiro,RJ,Região Sudeste,"-22.9138683111265,-43.2010414947482"
2635,@glaurocker,São Paulo,SP,Região Sudeste,"-23.5338633880999,-46.6403182226843"
2636,@ErnestoCubanoBr,São Paulo,SP,Região Sudeste,"-23.5338633880999,-46.6403182226843"
2637,@_sartoricarool,Porto Alegre,RS,Região Sul,"-30.032731616135106,-51.2074411947153"
2638,@bawersantos1,Rio de Janeiro,RJ,Região Sudeste,"-22.9138683111265,-43.2010414947482"
2639,@jokercamps,São Luís,MA,Região Nordeste,"-2.53951514746143,-44.2832158364691"
